iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
65,"(21, 11)","(21, 12)",South,"[(21, 12), (22, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (21, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (22, 11)]",66,48,0,48
66,"(22, 11)","(21, 11)",East,"[(23, 11), (21, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (22, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 11)]",67,49,0,49
67,"(23, 11)","(22, 11)",East,"[(23, 12), (24, 11), (22, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (24, 11)]",68,50,0,50
68,"(24, 11)","(23, 11)",East,"[(25, 11), (23, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (24, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (25, 11)]",69,51,0,51
69,"(25, 11)","(24, 11)",East,"[(26, 11), (24, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (25, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (26, 11)]",70,52,0,52
70,"(26, 11)","(25, 11)",East,"[(27, 11), (25, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (26, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (27, 11)]",71,53,0,53
71,"(27, 11)","(26, 11)",East,"[(27, 10), (26, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (27, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (27, 10)]",72,54,0,54
72,"(27, 10)","(27, 11)",South,"[(27, 11), (27, 9)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (27, 10)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (27, 9)]",73,55,0,55
73,"(27, 9)","(27, 10)",South,"[(27, 10)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12), (27, 9)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12)]",74,56,0,56
74,"(23, 12)","(23, 11)",North,"[(23, 13), (23, 11)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 12)]","[(35, 4), (33, 4), (31, 6), (27, 4), (27, 2), (25, 4), (23, 2), (17, 12), (19, 12), (21, 14), (23, 13)]",75,51,0,51
