iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
90,"(31, 11)","(31, 10)",North,"[(31, 10), (30, 11)]","[(31, 11), (33, 9), (17, 7), (19, 5), (29, 7), (23, 9), (21, 9)]","[(33, 9), (29, 7), (17, 7), (19, 5), (21, 9), (23, 9), (30, 11)]",91,14,40,54
91,"(33, 9)","(32, 9)",East,"[(33, 10), (34, 9), (32, 9)]","[(33, 9), (29, 7), (17, 7), (19, 5), (21, 9), (23, 9), (30, 11)]","[(29, 7), (19, 5), (17, 7), (30, 11), (21, 9), (23, 9), (33, 10), (34, 9)]",92,14,40,54
92,"(29, 7)","(28, 7)",East,"[(29, 8), (28, 7)]","[(29, 7), (19, 5), (17, 7), (30, 11), (21, 9), (23, 9), (33, 10), (34, 9)]","[(17, 7), (19, 5), (23, 9), (30, 11), (21, 9), (34, 9), (33, 10), (29, 8)]",93,20,34,54
93,"(17, 7)","(17, 6)",North,"[(17, 6), (16, 7)]","[(17, 7), (19, 5), (23, 9), (30, 11), (21, 9), (34, 9), (33, 10), (29, 8)]","[(19, 5), (21, 9), (23, 9), (30, 11), (29, 8), (34, 9), (33, 10), (16, 7)]",94,32,22,54
94,"(19, 5)","(18, 5)",East,"[(18, 5)]","[(19, 5), (21, 9), (23, 9), (30, 11), (29, 8), (34, 9), (33, 10), (16, 7)]","[(23, 9), (21, 9), (16, 7), (30, 11), (29, 8), (34, 9), (33, 10)]",95,32,22,54
95,"(23, 9)","(23, 8)",North,"[(23, 8), (24, 9)]","[(23, 9), (21, 9), (16, 7), (30, 11), (29, 8), (34, 9), (33, 10)]","[(21, 9), (30, 11), (16, 7), (33, 10), (29, 8), (34, 9), (24, 9)]",96,24,30,54
96,"(21, 9)","(21, 8)",North,"[(21, 8)]","[(21, 9), (30, 11), (16, 7), (33, 10), (29, 8), (34, 9), (24, 9)]","[(30, 11), (33, 10), (16, 7), (24, 9), (29, 8), (34, 9)]",97,26,28,54
97,"(30, 11)","(31, 11)",West,"[(31, 11), (29, 11)]","[(30, 11), (33, 10), (16, 7), (24, 9), (29, 8), (34, 9)]","[(16, 7), (33, 10), (29, 11), (24, 9), (29, 8), (34, 9)]",98,15,39,54
98,"(16, 7)","(17, 7)",West,"[(17, 7), (15, 7)]","[(16, 7), (33, 10), (29, 11), (24, 9), (29, 8), (34, 9)]","[(29, 11), (33, 10), (15, 7), (24, 9), (29, 8), (34, 9)]",99,33,21,54
99,"(29, 11)","(30, 11)",West,"[(30, 11)]","[(29, 11), (33, 10), (15, 7), (24, 9), (29, 8), (34, 9)]","[(15, 7), (33, 10), (34, 9), (24, 9), (29, 8)]",100,16,38,54
100,"(15, 7)","(16, 7)",West,"[(15, 8), (16, 7), (14, 7)]","[(15, 7), (33, 10), (34, 9), (24, 9), (29, 8)]","[(14, 7), (29, 8), (33, 10), (24, 9), (15, 8), (34, 9)]",101,34,20,54
101,"(14, 7)","(15, 7)",West,"[(15, 7), (13, 7)]","[(14, 7), (29, 8), (33, 10), (24, 9), (15, 8), (34, 9)]","[(13, 7), (29, 8), (33, 10), (24, 9), (15, 8), (34, 9)]",102,35,19,54
102,"(13, 7)","(14, 7)",West,"[(14, 7)]","[(13, 7), (29, 8), (33, 10), (24, 9), (15, 8), (34, 9)]","[(33, 10), (29, 8), (34, 9), (24, 9), (15, 8)]",103,36,18,54
103,"(33, 10)","(33, 9)",North,"[(33, 11), (33, 9)]","[(33, 10), (29, 8), (34, 9), (24, 9), (15, 8)]","[(34, 9), (29, 8), (15, 8), (24, 9), (33, 11)]",104,15,41,56
