iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
123,"(17, 10)","(16, 10)",East,"[(17, 9), (16, 10)]","[(27, 7), (34, 4), (1, 14), (11, 10), (17, 10)]","[(17, 9), (27, 7), (34, 4), (1, 14), (11, 10)]",124,35,0,35
124,"(11, 10)","(12, 10)",West,"[(12, 10), (10, 10)]","[(17, 9), (27, 7), (34, 4), (1, 14), (11, 10)]","[(10, 10), (17, 9), (27, 7), (34, 4), (1, 14)]",125,35,0,35
125,"(1, 14)","(1, 15)",South,"[(1, 15), (1, 13)]","[(10, 10), (17, 9), (27, 7), (34, 4), (1, 14)]","[(1, 13), (10, 10), (17, 9), (27, 7), (34, 4)]",126,35,0,35
126,"(34, 4)","(33, 4)",East,"[(34, 3), (33, 4)]","[(1, 13), (10, 10), (17, 9), (27, 7), (34, 4)]","[(34, 3), (1, 13), (10, 10), (17, 9), (27, 7)]",127,36,0,36
127,"(27, 7)","(27, 8)",South,"[(27, 8), (27, 6)]","[(34, 3), (1, 13), (10, 10), (17, 9), (27, 7)]","[(27, 6), (34, 3), (1, 13), (10, 10), (17, 9)]",128,36,0,36
128,"(17, 9)","(17, 10)",South,"[(17, 10), (17, 8)]","[(27, 6), (34, 3), (1, 13), (10, 10), (17, 9)]","[(17, 8), (27, 6), (34, 3), (1, 13), (10, 10)]",129,36,0,36
129,"(10, 10)","(11, 10)",West,"[(10, 11), (11, 10)]","[(17, 8), (27, 6), (34, 3), (1, 13), (10, 10)]","[(10, 11), (17, 8), (27, 6), (34, 3), (1, 13)]",130,36,0,36
130,"(1, 13)","(1, 14)",South,"[(1, 14), (1, 12)]","[(10, 11), (17, 8), (27, 6), (34, 3), (1, 13)]","[(1, 12), (10, 11), (17, 8), (27, 6), (34, 3)]",131,36,0,36
131,"(34, 3)","(34, 4)",South,"[(34, 4), (34, 2)]","[(1, 12), (10, 11), (17, 8), (27, 6), (34, 3)]","[(34, 2), (1, 12), (10, 11), (17, 8), (27, 6)]",132,37,0,37
132,"(27, 6)","(27, 7)",South,"[(27, 7), (27, 5)]","[(34, 2), (1, 12), (10, 11), (17, 8), (27, 6)]","[(27, 5), (34, 2), (1, 12), (10, 11), (17, 8)]",133,37,0,37
133,"(17, 8)","(17, 9)",South,"[(17, 9), (16, 8)]","[(27, 5), (34, 2), (1, 12), (10, 11), (17, 8)]","[(16, 8), (27, 5), (34, 2), (1, 12), (10, 11)]",134,37,0,37
